0,1,2,3,4,5,6,7,8,9
"Récapitulatif des superficies, des productions, des rendements  et les taux d'accroissement  2019/2018",,,,,,,,,
,,2018,,,2019,,,Taux d'accroissement     %,
,Sup.,Prod.,Rdt,Sup.,Prod.,Rdt,,2019 /2018,
,ha,qx,qx/ha,ha,qx,qx/ha,Sup.,Prod.,Rdt
Fourrages  a+b+c,878 012,48 792 647,"55,6",959 841,52 608 912,"54,8",9,8,-1
Fourrages naturelsa,258 578,8 518 737,"32,9",273 581,8 970 997,"32,8",6,5,0
Prairies naturelles,49 578,1 623 160,"32,7",59 055,1 846 262,"31,3",19,14,-5
Jachères fauchées,208 999,6 895 577,"33,0",214 525,7 124 735,"33,2",3,3,1
Fourrages artificiels secb,456 742,17 654 123,"38,7",449 774,17 979 420,"40,0",-2,2,3
Vesces-Avoines,58 794,2 378 720,"40,5",53 628,2 602 895,"48,5",-9,9,20
Luzernes,9 305,1 763 874,"189,6",8 879,2 158 847,"243,2",-5,22,28
Céréales reconverties,137 212,1 158 049,"8,4",144 739,2 132 743,"14,7",5,84,75
Divers,251 431,12 353 481,"49,1",242 529,11 084 935,"45,7",-4,-10,-7
Fourrages artificiels vertc,162 692,22 619 787,"139,0",236 486,25 658 495,"108,5",45,13,-22
"Orge,Avoine,Seigle en vert",125 576,14 252 989,"113,5",198 207,16 609 557,"83,8",58,17,-26
Autres,37 116,8 366 798,"225,4",38 279,9 048 938,"236,4",3,8,5
Agrumes,58 296,12 031 973,"206,4",63 744,15 834 931,"248,4",9,32,20
Oranges,41 953,8 927 635,"212,8",46 081,11 995 351,"260,3",10,34,22
Clémentines,10 143,1 918 282,"189,1",11 354,2 487 839,"219,1",12,30,16
Mandarines,2 204,423 366,"192,0",2 243,464 659,"207,1",2,10,8
Citrons,3 909,743 641,"190,3",3 994,870 166,"217,9",2,17,15
Pomélos,86,19 050,"220,8",73,16 915,"233,3",-16,-11,6
Vignobles,66 264,5 709 718,"86,2",61 676,5 498 329,"89,1",-7,-4,3
Vigne de cuve,23 577,721 694,"30,6",20 294,460 933,"22,7",-14,-36,-26
Vigne de table,42 656,4 987 524,"116,9",41 382,5 037 396,"121,7",-3,1,4
Vigne à raisin sec,31,500,"16,4",0,0,0,-100,-100,-100
Espèces à Noyaux et / ou,205 689,15 426 232,"75,0",177 681,16 460 532,"92,6",-14,7,24
à Pépins,,,,,,,,,
Abricots,38 239,2 567 711,"67,1",30 861,2 092 048,"67,8",-19,-19,1
Amandes,39 690,660 946,"16,7",35 380,724 127,"20,5",-11,10,23
Caroubes,809,32 567,"40,3",732,35 265,"48,1",-9,8,20
Cerises,2 860,69 032,"24,1",3 432,112 374,"32,7",20,63,36
Coings,1 792,122 305,"68,2",1 617,127 466,"78,8",-10,4,16
Grenades,9 103,840 972,"92,4",9 192,947 521,"103,1",1,13,12
Nèfles,2 291,238 261,"104,0",2 252,296 208,"131,5",-2,24,26
Pêches,18 187,1 693 861,"93,1",16 675,2 017 557,"121,0",-8,19,30
Poires,24 457,2 119 428,"86,7",20 240,2 234 673,"110,4",-17,5,27
Pommes,40 553,5 033 027,"124,1",32 989,5 588 297,"169,4",-19,11,36
Prunes,15 805,1 025 878,"64,9",12 795,1 130 855,"88,4",-19,10,36
Autres,11 904,1 022 244,"85,9",11 516,1 154 140,"100,2",-3,13,17
,Nbre,Production,Rdt,Nbre,Production,Rdt,Nbre,Production,Rdt
,d'arbres en,(qx),kgs/arbre,d'arbres en,(qx),kgs/arbre,d'arbres,(qx),kgs/arbre
,rapport,,,rapport,,,en,,
,,,,,,,rapport,,
Palmiers dattiers,15 733 624,10 295 957,"65,4",16 508 912,11 360 249,"68,8",5,10,5
Deglet nour,6 498 295,5 533 596,"85,2",6 987 860,6 139 055,"87,9",8,11,3
Dattes molles,3 911 117,2 013 777,"51,5",3 430 827,2 201 706,"64,2",-12,9,25
Dattes séches,5 324 212,2 748 583,"51,6",6 090 225,3 019 488,"49,6",14,10,-4
Oliviers,35 506 041,6 969 615,"19,6",43 474 114,8 687 541,"20,0",22,25,2
Figuiers,4 948 112,1 317 980,"26,6",4 855 726,1 140 917,"23,5",-2,-13,-12
