0,1,2,3,4
WILAYA,Jachères,Jachères   paturées,Jachères  travaillées au,TOTAL
,fauchées,,printemps,Jachères
,ha,ha,(ha),ha
1 ADRAR,0,1 948,0,1 948
2 CHLEF,695,36 076,14 217,50 988
3 LAGHOUAT,0,27 268,0,27 268
4 O.E.BOUAGHI,19 779,83 643,19 541,122 962
5 BATNA,14 398,168 266,10 731,193 394
6 BEJAIA,11 550,28 165,1 993,41 708
7 BISKRA,0,32 235,40 295,72 530
8 BECHAR,0,16 716,0,16 716
9 BLIDA,3 478,2 830,345,6 653
10 BOUIRA,426,48 399,11 156,59 981
11 TAMANRASSET,0,0,0,0
12 TEBESSA,5 000,89 432,7 104,101 536
13 TLEMCEN,0,12 867,65 005,77 872
14 TIARET,0,128 152,141 105,269 257
15 TIZI-OUZOU,13 579,7 078,672,21 328
16 ALGER,0,3 696,0,3 696
17 DJELFA,0,252 721,0,252 721
18 JIJEL,6 627,5 648,0,12 275
19 SETIF,12 883,39 470,42 849,95 202
20 SAIDA,0,111 361,38 410,149 771
21 SKIKDA,10 938,10 110,2 854,23 902
22 S.B.ABBES,0,46 151,88 620,134 772
23 ANNABA,2 798,7 172,1 121,11 090
24 GUELMA,17 356,20 106,18 121,55 583
25 CONSTANTINE,230,999,8 060,9 289
26 MEDEA,3 692,64 886,65 897,134 475
27 MOSTAGANEM,0,3 490,1 833,5 323
28 M'SILA,0,157 565,0,157 565
29 MASCARA,7 650,63 637,5 036,76 323
30 OUARGLA,0,25 521,0,25 521
31 ORAN,432,8 402,1 346,10 180
32 EL-BAYADH,0,51 750,0,51 750
33 ILLIZI,0,418,0,418
34 B.B.ARRERIDJ,17 843,0,51 978,69 821
35 BOUMERDES,2 853,1 933,0,4 786
36 EL-TARF,9 380,11 409,0,20 789
37 TINDOUF,0,67,0,67
38 TISSEMSILT,9 450,0,25 106,34 556
39 EL-OUED,0,0,7 300,7 300
40 KHENCHELA,11 500,104 294,0,115 794
41 SOUK-AHRAS,12 727,18 892,26 536,58 155
42 TIPAZA,2 280,3 426,0,5 706
43 MILA,11 715,32 586,43 245,87 546
44 AIN-DEFLA,2 654,16 924,10 680,30 258
45 NAAMA,0,15 877,0,15 877
46 A.TEMOUCHENT,0,0,14 677,14 677
47 GHARDAIA,402,37 268,0,37 670
48 RELIZANE,3 586,28 405,39 568,71 559
TOTAL ALGERIE,215 900,1 827 258,805 398,2 848 556
,,,,12
