Wilaya_Code,Wilaya_Name,Ble_Dur_Sup_Emblavee_ha,Ble_Dur_Sup_Recoltee_ha,Ble_Dur_Taux_Recolte_%,Ble_Dur_Prod_qx,Ble_Dur_Rdt_qx_ha,Ble_Tendre_Sup_Emblavee_ha,Ble_Tendre_Sup_Recoltee_ha,Ble_Tendre_Taux_Recolte_%,Ble_Tendre_Prod_qx,Ble_Tendre_Rdt_qx_ha,Orge_Sup_Emblavee_ha,Orge_Sup_Recoltee_ha,Orge_Taux_Recolte_%,Orge_Prod_qx,Orge_Rdt_qx_ha,Avoine_Sup_Emblavee_ha,Avoine_Sup_Recoltee_ha,Avoine_Taux_Recolte_%,Avoine_Prod_qx,Avoine_Rdt_qx_ha,Triticale_Sup_Emblavee_ha,Triticale_Sup_Recoltee_ha,Triticale_Taux_Recolte_%,Triticale_Prod_qx,Triticale_Rdt_qx_ha,Total_Cereales_Hiver_Sup_Emblavee_ha,Total_Cereales_Hiver_Sup_Recoltee_ha,Total_Cereales_Hiver_Taux_Recolte_%,Total_Cereales_Hiver_Prod_qx,Total_Cereales_Hiver_Rdt_qx_ha
1,ADRAR,5907,5732,97.0,224035,39.1,3748,3748,100.0,103313,27.6,1295,1295,100.0,27928,21.6,229,229,100.0,4836,21.2,0,0,0.0,0,0.0,11177,11003,98.4,360111,32.7
2,CHLEF,65995,64180,97.2,1113678,17.4,6917,6586,95.2,110456,16.8,15913,15861,99.7,207864,13.1,2995,2835,94.7,35910,12.7,0,0,0.0,0,0.0,91820,89462,97.4,1467908,16.4
3,LAGHOUAT,7937,6167,77.7,115937,18.8,143,143,100.0,5005,35.0,19416,9106,46.9,163908,18.0,476,476,100.0,7139,15.0,0,0,0.0,0,0.0,27972,15892,56.8,291989,18.4
4,O.E.BOUAGHI,60987,11257,18.5,148000,13.1,46786,5271,11.3,60000,11.4,102553,8013,7.8,76000,9.5,2274,459,20.2,5000,10.9,0,0,0.0,0,0.0,212600,25000,11.8,289000,11.6
5,BATNA,56000,13402,23.9,147941,11.0,9000,2069,23.0,19653,9.5,73000,9547,13.1,101045,10.6,5000,843,16.9,12636,15.0,0,0,0.0,0,0.0,143000,25861,18.1,281275,10.9
6,BEJAIA,5306,5306,100.0,79324,14.9,17,17,100.0,600,35.3,1126,1126,100.0,12269,10.9,6,6,100.0,75,12.5,0,0,0.0,0,0.0,6455,6455,100.0,92268,14.3
7,BISKRA,12450,12450,100.0,505121,40.6,5140,5140,100.0,176635,34.4,10780,9240,85.7,277280,30.0,100,100,100.0,2500,25.0,0,0,0.0,0,0.0,28470,26930,94.6,961536,35.7
8,BECHAR,273,270,98.9,8100,30.0,3,3,100.0,120,40.0,1150,1090,94.8,32700,30.0,100,90,90.0,900,10.0,0,0,0.0,0,0.0,1526,1453,95.2,41820,28.8
9,BLIDA,6841,6841,100.0,180839,26.4,1295,1287,99.4,30019,23.3,602,584,97.0,12135,20.8,20,20,100.0,360,18.0,0,0,0.0,0,0.0,8757,8731,99.7,223353,25.6
10,BOUIRA,39194,39164,99.9,1096578,28.0,8373,8373,100.0,251190,30.0,18227,18226,100.0,455650,25.0,1687,1687,100.0,29691,17.6,0,0,0.0,0,0.0,67481,67450,100.0,1833109,27.2
11,TAMANRASSET,515,486,94.3,2661,5.5,160,111,69.4,1962,17.7,122,89,73.0,982,11.0,21,25,119.0,0,0.0,0,0,0.0,0,0.0,818,711,86.9,5605,7.9
12,TEBESSA,87000,38000,43.7,379393,10.0,7000,2400,34.3,16530,6.9,96000,45930,47.8,420850,9.2,0,0,0.0,0,0.0,0,0,0.0,0,0.0,190000,86330,45.4,816773,9.5
13,TLEMCEN,51150,51072,99.8,612850,12.0,30350,29835,98.3,179000,6.0,86000,85986,100.0,1031850,12.0,5000,5000,100.0,50000,10.0,0,0,0.0,0,0.0,172500,171893,99.6,1873700,10.9
