Wilaya_Code,Wilaya_Name,Cultures_herbacées_ha,Cultures_herbacées_%,Terres_au_repos_ha,Terres_au_repos_%,Prairies_naturelles_ha,Prairies_naturelles_%,Vignes_ha,Vignes_%,Plantations_arbres_fruit_ha,Plantations_arbres_fruit_%,TOTAL_SAU_ha,TOTAL_SAU_%,Pacages_parcours_ha,Pacages_parcours_%,Terres_improductives_ha,Terres_improductives_%,TOTAL_SAT_ha,TOTAL_SAT_%
1,ADRAR,18463,4.8,1482,0.4,0,0.0,0,0.0,28327,7.4,48272,12.6,321599,83.8,14005,3.6,383876,0.9
2,CHLEF,119809,45.6,63748,24.3,3545,1.4,1269,0.5,14860,5.7,203230,77.4,25714,9.8,33567,12.8,262511,0.6
3,LAGHOUAT,31995,2.0,34358,2.1,0,0.0,404,0.0,6256,0.4,73013,4.6,1529559,95.4,0,0.0,1602572,3.7
4,O.E.BOUAGHI,228358,44.3,128825,25.0,670,0.1,3,0.0,3030,0.6,360885,70.0,122425,23.7,32172,6.2,515482,1.2
5,BATNA,189673,25.5,209483,28.2,1440,0.2,97,0.0,21985,3.0,422677,56.8,237492,31.9,83857,11.3,744026,1.7
6,BEJAIA,13741,8.3,43851,26.6,1152,0.7,461,0.3,71712,43.5,130917,79.4,30290,18.4,3587,2.2,164794,0.4
7,BISKRA,56810,3.4,75973,4.6,0,0.0,197,0.0,52493,3.2,185473,11.2,1399746,84.7,67532,4.1,1652751,3.8
8,BECHAR,4526,0.3,14421,1.0,0,0.0,141,0.0,16009,1.1,35097,2.5,1319237,92.6,69834,4.9,1424168,3.3
9,BLIDA,13891,22.6,8604,14.0,1079,1.8,1216,2.0,27534,44.8,52324,85.2,7589,12.3,1536,2.5,61449,0.1
10,BOUIRA,87950,30.0,59718,20.3,0,0.0,79,0.0,42213,14.4,189960,64.7,76681,26.1,26904,9.2,293544,0.7
11,TAMANRASSET,2440,0.3,854,0.0,0,0.0,119,0.0,8053,0.9,11466,1.2,816100,92.6,53825,6.1,881391,2.0
12,TEBESSA,203175,24.9,94233,11.5,120,0.0,0,0.0,12397,1.5,309925,38.0,434088,53.2,72094,8.8,816107,1.9
13,TLEMCEN,212649,39.5,97484,18.1,170,0.0,2449,0.5,37989,7.1,350741,65.2,153964,28.6,33025,6.1,537730,1.2
