Wilaya_Code,Wilaya_Name,Cultures_herbacées_ha,Cultures_herbacées_%,Terres_au_repos_ha,Terres_au_repos_%,Prairies_naturelles_ha,Prairies_naturelles_%,Vignes_ha,Vignes_%,Plantations_arbres_fruit_ha,Plantations_arbres_fruit_%,TOTAL_SAU_ha,TOTAL_SAU_%,Pacages_parcours_ha,Pacages_parcours_%,Terres_improductives_ha,Terres_improductives_%,TOTAL_SAT_ha,TOTAL_SAT_%
1,ADRAR,24702,4.3,1948,0.3,0,0.0,0,0.0,28860,5.0,55510,9.6,55293,9.6,464748,80.7,575551,1.3
2,CHLEF,134841,51.4,50988,19.4,845,0.3,1063,0.4,15493,5.9,203230,77.4,25714,9.8,33567,12.8,262511,0.6
3,LAGHOUAT,44017,2.5,27268,1.5,0,0.0,373,0.0,6074,0.3,77732,4.3,1716813,95.7,0,0.0,1794545,4.1
4,O.E.BOUAGHI,234118,45.4,122962,23.9,670,0.1,2,0.0,3133,0.6,360885,70.0,122272,23.7,32325,6.3,515482,1.2
5,BATNA,189135,25.4,193394,26.0,17043,2.3,91,0.0,23014,3.1,422677,56.8,237600,31.9,83749,11.3,744026,1.7
6,BEJAIA,14464,8.8,41708,25.3,1380,0.8,410,0.2,72954,44.3,130917,79.4,30290,18.4,3587,2.2,164794,0.4
7,BISKRA,61484,3.7,72530,4.4,0,0.0,289,0.0,51160,3.1,185463,11.2,1399746,84.7,67532,4.1,1652741,3.8
8,BECHAR,3255,0.2,16716,1.2,0,0.0,127,0.0,14975,1.1,35072,2.5,1319192,92.6,69834,4.9,1424098,3.2
9,BLIDA,15618,24.1,6653,10.3,1242,1.9,1170,1.8,29620,45.7,54303,83.8,8860,13.7,1660,2.6,64823,0.1
10,BOUIRA,86288,29.4,59981,20.4,100,0.0,76,0.0,43515,14.8,189960,64.7,73895,25.2,29689,10.1,293544,0.7
11,TAMANRASSET,3322,0.4,0,0.0,0,0.0,137,0.0,7803,0.9,11262,1.3,816100,92.6,54103,6.1,881465,2.0
12,TEBESSA,197698,24.2,101536,12.4,120,0.0,0,0.0,12821,1.6,312175,38.1,434088,53.0,72094,8.8,818357,1.9
13,TLEMCEN,234494,43.6,77872,14.5,0,0.0,2346,0.4,35573,6.6,350285,65.2,149036,27.7,37953,7.1,537274,1.2
14,TIARET,405690,36.6,269257,24.3,50,0.0,563,0.1,13166,1.2,688725,62.1,420606,37.9,0,0.0,1109331,2.5
15,TIZI-OUZOU,26251,18.0,21328,14.6,1257,0.9,1293,0.9,48714,33.3,98842,67.7,25370,17.4,21859,15.0,146072,0.3
16,ALGER,11704,36.0,3696,11.4,0,0.0,2409,7.4,11061,34.0,28870,88.8,1471,4.5,2185,6.7,32526,0.1
17,DJELFA,115274,4.6,252721,10.1,0,0.0,43,0.0,19014,0.8,387052,15.5,2114041,84.5,0,0.0,2501093,5.7
18,JIJEL,9596,9.8,12275,12.5,4469,4.5,49,0.0,18578,18.9,44967,45.7,38811,39.5,1451,1.5,98289,0.2
19,SETIF,230851,50.2,95202,20.7,1958,0.4,26,0.0,37077,8.1,365112,79.4,53650,11.7,41084,8.9,459847,1.0
20,SAIDA,150607,29.5,149771,29.3,0,0.0,57,0.0,7772,1.5,308206,60.3,159664,31.2,43479,8.5,511349,1.2
21,SKIKDA,84356,43.7,23902,12.4,484,0.3,1179,0.6,21908,11.4,131829,68.3,42977,22.3,18217,9.4,193023,0.4
22,S.B.ABBES,206998,53.5,134772,34.9,0,0.0,3159,0.8,18264,4.7,363193,94.0,3715,1.0,19644,5.1,386552,0.9
23,ANNABA,31442,54.4,11090,19.2,2223,3.8,88,0.2,2607,4.5,47449,82.1,7585,13.1,2786,4.8,57820,0.1
24,GUELMA,118370,44.7,55583,21.0,306,0.1,39,0.0,13040,4.9,187338,70.8,50875,19.2,26405,10.0,264618,0.6
25,CONSTANTINE,114017,64.8,9289,5.3,0,0.0,19,0.0,1684,1.0,125010,71.1,50935,28.9,0,0.0,175945,0.4
26,MEDEA,170361,23.2,134475,18.3,10823,1.5,3118,0.4,20931,2.8,339709,46.2,291274,39.6,104054,14.2,735037,1.7
27,MOSTAGANEM,94046,65.0,5323,3.7,0,0.0,10879,7.5,22020,15.2,132268,91.4,5110,3.5,7400,5.1,144778,0.3
28,M'SILA,102185,7.9,157565,12.1,0,0.0,35,0.0,17808,1.4,277592,21.4,1019243,78.6,0,0.0,1296835,2.9
29,MASCARA,206168,47.5,76323,17.6,0,0.0,4756,1.1,25540,5.9,312786,72.0,104292,24.0,17054,3.9,434132,1.0
30,OUARGLA,5643,0.1,25521,0.4,0,0.0,63,0.0,23352,0.4,54579,1.0,4750000,83.5,884050,15.5,5688629,12.9
31,ORAN,65444,68.8,10180,10.7,0,0.0,613,0.6,10520,11.1,86757,91.3,1823,1.9,6479,6.8,95058,0.2
