0,1,2,3,4,5
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,SERIE B 2016
"III)- OLIVIERS, OLIVES ET HUILES 1/2",,,,,
Oliviers cultivés (plantés ou greffés) et olivier en rapport,,,,,
,Superficie,Oliviers en masse,Oliviers isolés,Total olivier,Oliviers en rapport
,occupée,,,complanté,
WILAYA,(ha),(Nbre d'arbre,(Nbre d'arbre,(Nbre d'arbre,(Nbre) arbres
1 ADRAR,0,0,0,0,0
2 CHLEF,4 306,560 460,46 040,606 500,344 240
3 LAGHOUAT,2 042,434 007,25 695,459 702,216 400
4 O.E.BOUAGHI,1 918,248 445,570,249 015,45 720
5 BATNA,11 054,2 034 363,92 644,2 127 007,1 219 139
6 BEJAIA,55 518,4 370 619,480 541,4 851 160,4 267 583
7 BISKRA,4 273,965 912,96 281,1 062 193,653 521
8 BECHAR,1 337,289 700,85 293,374 993,57 057
9 BLIDA,1 282,190 495,134 026,324 521,285 522
10 BOUIRA,35 809,3 332 054,359 657,3 691 711,2 417 000
11 TAMANRASSET,174,17 400,0,17 400,0
12 TEBESSA,8 862,1 627 606,17 000,1 644 606,668 800
13 TLEMCEN,15 312,1 773 100,274 770,2 047 870,1 651 190
14 TIARET,8 241,1 336 193,47 346,1 383 539,407 694
15 TIZI-OUZOU,36 290,3 850 958,323 056,4 174 014,3 048 702
16 ALGER,93,25 355,21 676,47 031,29 114
17 DJELFA,10 904,2 626 570,18 800,2 645 370,1 490 800
18 JIJEL,15 476,1 370 283,384 470,1 754 753,1 284 582
19 SETIF,22 817,2 304 865,353 660,2 658 525,1 659 509
20 SAIDA,4 715,1 053 449,22 750,1 076 199,390 640
21 SKIKDA,10 872,1 139 069,384 407,1 523 476,1 142 848
22 S.B.ABBES,7 645,764 000,172 542,936 542,599 646
23 ANNABA,851,87 286,36 060,123 346,64 743
24 GUELMA,9 443,568 254,349 651,917 905,487 442
25 CONSTANTINE,1 106,145 853,53 265,199 118,120 899
26 MEDEA,9 311,978 907,110 752,1 089 659,262 104
27 MOSTAGANEM,5 448,1 093 400,172 140,1 265 540,832 040
28 M'SILA,10 319,1 906 050,75 000,1 981 050,1 282 700
29 MASCARA,13 508,1 593 140,139 380,1 732 520,1 301 520
30 OUARGLA,760,159 702,51 938,211 640,28 628
31 ORAN,7 282,1 293 058,108 993,1 402 051,982 293
32 EL-BAYADH,1 086,234 428,53 295,287 723,131 728
33 ILLIZI,135,18 399,300,18 699,470
34 B.B.ARRERIDJ,25 890,2 314 661,84 705,2 399 366,1 484 440
35 BOUMERDES,8 274,736 528,137 336,873 864,715 114
36 EL-TARF,4 856,488 283,76 600,564 883,201 705
37 TINDOUF,129,22 060,1 160,23 220,2 160
38 TISSEMSILT,7 749,1 020 712,2 000,1 022 712,267 700
39 EL-OUED,3 100,1 083 360,70 000,1 153 360,650 000
40 KHENCHELA,7 521,1 319 100,96 267,1 415 367,426 800
41 SOUK-AHRAS,8 087,1 389 515,60 720,1 450 235,550 460
42 TIPAZA,2 739,338 263,396 239,734 502,217 139
43 MILA,8 967,896 693,201 157,1 097 850,630 995
44 AIN-DEFLA,7 450,1 232 500,155 000,1 387 500,815 000
45 NAAMA,2 969,786 210,7 375,793 585,76 142
46 A.TEMOUCHENT,4 868,555 555,512 125,1 067 680,698 505
47 GHARDAIA,1 394,136 739,197 641,334 380,167 793
48 RELIZANE,11 501,1 710 160,57 570,1 767 730,1 228 809
TOTAL ALGERIE,423 683,52 423 719,6 547 893,58 971 612,35 507 036
