0,1
WILAYA,Superficie Deglet nour (Dattes Ghers  et Degla Beida et Total  Palmier-
,occupée fines) Analogues Analogues (Dattes  dattier
,(Dattes molles) sèches)
,ha Nbre d'arbre Nbre d'arbre Nbre d'arbre Nbre d'arbre
1 ADRAR,28 327 0 0 3 803 230 3 803 230
3 LAGHOUAT,285 9 240 12 744 11 436 33 420
5 BATNA,207 9 338 7 453 9 234 26 025
7 BISKRA,43 317 2 701 217 562 687 1 097 194 4 361 098
8 BECHAR,13 918   1 406 378 235 164 1 641 542
11 TAMANRASSET,6 753 0 276 494 172 306 448 800
12 TEBESSA,805 38 200 22 400 0 60 600
17 DJELFA,98 6 700 2 300 800 9 800
28 M'SILA,0  0  0  0 0
30 OUARGLA,22 142 1 413 125 1 000 067 172 802 2 585 994
32 EL-BAYADH,477 3 600 15 900 28 200 47 700
33 ILLIZI,1 254 7 758 77 585 43 760 129 103
37 TINDOUF,434 30 43 867 1 309 45 206
39 EL-OUED,37 440 2 507 200 731 430 651 700 3 890 330
40 KHENCHELA,813 51 500 70 100 11 542 133 142
45 NAAMA,236 4 650 39 250 0 43 900
47 GHARDAIA,11 139 548 750 235 100 491 660 1 275 510
TOTAL ALGERIE,167 643 7 301 308 4 503 755 6 730 337 18 535 400
PALMIERS  DATTIERS (2/3),
Nombre  de palmiers en rapport,
WILAYA,Deglet nour (Dattes Ghers  et Analogues Degla Beida et Analogues Total  Palmier-dattier
,fines) (Dattes molles) (Dattes  sèches)
,Nbre d'arbre Nbre d'arbre Nbre d'arbre Nbre d'arbre
1 ADRAR,0 0 2 830 575 2 830 575
3 LAGHOUAT,9 240 12 744 11 436 33 420
5 BATNA,8 298 7 453 8 774 24 525
7 BISKRA,2 454 336 531 949 1 071 009 4 057 294
8 BECHAR,0 801 444 174 493 975 937
11 TAMANRASSET,0 243 789 171 219 415 008
12 TEBESSA,20 750 18 350 0 39 100
17 DJELFA,6 300 2 300 800 9 400
28 M'SILA,0
30 OUARGLA,1 138 895 881 121 137 011 2 157 027
32 EL-BAYADH,2 100 8 000 11 600 21 700
33 ILLIZI,2 362 27 970 22 675 53 007
37 TINDOUF,0 33 138 1 306 34 444
39 EL-OUED,2 414 800 703 800 617 200 3 735 800
40 KHENCHELA,44 300 62 100 11 342 117 742
45 NAAMA,583 9 198 0 9 781
47 GHARDAIA,464 367 175 687 483 792 1 123 846
TOTAL ALGERIE,6 566 331 3 519 043 5 553 232 15 638 606
