0,1,2,3,4
WILAYA,Jachères,Jachères,Jachères  travaillées,TOTAL
,fauchées,paturées,au  printemps,Jachères
,ha,ha,(ha),ha
1 ADRAR,0,2 053,0,2 053
2 CHLEF,450,25 206,31 478,57 134
3 LAGHOUAT,0,20 362,0,20 362
4 O.E.BOUAGHI,80,105 577,19 532,125 189
5 BATNA,21 444,193 341,5 318,220 103
6 BEJAIA,11 731,28 478,2 763,42 971
7 BISKRA,1 566,34 269,39 879,75 714
8 BECHAR,0,17 367,0,17 367
9 BLIDA,2 635,3 108,379,6 122
10 BOUIRA,8 893,40 843,11 060,60 796
11 TAMANRASSET,315,6 062,0,6 377
12 TEBESSA,0,87 669,7 509,95 178
13 TLEMCEN,200,60 811,21 438,82 449
14 TIARET,0,156 151,120 874,277 025
15 TIZI-OUZOU,14 926,5 564,676,21 166
16 ALGER,0,3 503,0,3 503
17 DJELFA,0,257 300,0,257 300
18 JIJEL,6 821,5 864,0,12 685
19 SETIF,6 439,42 281,46 157,94 877
20 SAIDA,0,140 334,30 577,170 911
21 SKIKDA,10 488,11 430,3 934,25 851
22 S.B.ABBES,0,33 915,116 745,150 660
23 ANNABA,4 720,8 725,550,13 995
24 GUELMA,15 724,23 574,23 542,62 841
25 CONSTANTINE,950,2 389,20 344,23 683
26 MEDEA,9 386,82 477,41 805,133 668
27 MOSTAGANEM,0,975,0,975
28 M'SILA,0,151 433,0,151 433
29 MASCARA,6 180,62 000,8 437,76 617
30 OUARGLA,0,21 532,0,21 532
31 ORAN,0,9 656,1 669,11 324
32 EL-BAYADH,0,58 416,0,58 416
33 ILLIZI,0,220,0,220
34 B.B.ARRERIDJ,13 236,20 167,30 273,63 676
35 BOUMERDES,2 700,2 815,0,5 515
36 EL-TARF,8 349,11 302,0,19 651
37 TINDOUF,0,98,0,98
38 TISSEMSILT,7 692,0,37 809,45 502
39 EL-OUED,0,0,8 000,8 000
40 KHENCHELA,130,91 364,0,91 494
41 SOUK-AHRAS,8 196,22 053,19 114,49 363
42 TIPAZA,2 635,3 630,0,6 265
43 MILA,9 825,40 957,42 838,93 620
44 AIN-DEFLA,3 799,21 800,6 761,32 360
45 NAAMA,0,14 235,0,14 235
46 A.TEMOUCHENT,258,0,13 405,13 663
47 GHARDAIA,0,20 507,0,20 507
48 RELIZANE,5 160,38 023,27 024,70 207
TOTAL ALGERIE,184 927,1 989 833,739 889,2 914 650
