0,1,2,3,4,5,6,7,8,9,10
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,,SERIE B 2017
ENSEMBLE DES CULTURES HERBACEES 2/2,,,,,,,,,,
Wilaya,Cultures,,,Cultures  maraîchères,,,Autres cultures,,TOTAL CULTURES,
,industrielles,,,,,,,,HERBACEES,
,ha,%,ha,%,,ha,%,,ha,%
1 ADRAR,1 942,"9,2",4 186,,"19,8",169,,"0,8",21 155,"0,5"
2 CHLEF,1 076,"0,8",9 075,,"7,0",0,,"0,0",130 172,"2,9"
3 LAGHOUAT,0,"0,0",10 021,,"19,9",0,,"0,0",50 387,"1,1"
4 O.E.BOUAGHI,1 158,"0,5",2 053,,"0,9",0,,"0,0",231 973,"5,1"
5 BATNA,67,"0,0",8 006,,"4,5",261,,"0,1",178 302,"3,9"
6 BEJAIA,120,"0,9",3 292,,"24,1",310,,"2,3",13 634,"0,3"
7 BISKRA,1 485,"2,6",21 062,,"36,5",0,,"0,0",57 780,"1,3"
8 BECHAR,60,"1,1",2 695,,"48,7",0,,"0,0",5 536,"0,1"
9 BLIDA,76,"0,5",5 671,,"36,1",0,,"0,0",15 718,"0,3"
10 BOUIRA,0,"0,0",8 562,,"10,0",0,,"0,0",85 466,"1,9"
11 TAMANRASSET,0,"0,0",935,,"46,3",0,,"0,0",2 019,"0,0"
12 TEBESSA,0,"0,0",3 958,,"1,9",1 936,,"1,0",203 647,"4,5"
13 TLEMCEN,0,"0,0",17 012,,"7,5",0,,"0,0",227 787,"5,0"
14 TIARET,0,"0,0",10 672,,"2,6",0,,"0,0",404 819,"8,9"
15 TIZI-OUZOU,0,"0,0",6 252,,"22,9",0,,"0,0",27 339,"0,6"
16 ALGER,0,"0,0",8 262,,"65,8",55,,"0,4",12 556,"0,3"
17 DJELFA,5,"0,0",7 404,,"7,2",0,,"0,0",102 744,"2,3"
18 JIJEL,83,"1,0",6 572,,"77,3",0,,"0,0",8 507,"0,2"
19 SETIF,1 074,"0,5",8 467,,"3,7",0,,"0,0",231 903,"5,1"
20 SAIDA,0,"0,0",5 813,,"4,5",0,,"0,0",129 495,"2,8"
21 SKIKDA,8 424,"10,1",22 060,,"26,4",0,,"0,0",83 574,"1,8"
22 S.B.ABBES,15,"0,0",4 677,,"2,4",0,,"0,0",192 167,"4,2"
23 ANNABA,1 910,"6,6",10 020,,"34,9",0,,"0,0",28 726,"0,6"
24 GUELMA,4 529,"4,0",7 707,,"6,9",0,,"0,0",111 867,"2,5"
25 CONSTANTINE,0,"0,0",5 004,,"5,1",0,,"0,0",98 840,"2,2"
26 MEDEA,15,"0,0",7 538,,"4,6",0,,"0,0",162 351,"3,6"
27 MOSTAGANEM,201,"0,2",23 845,,"23,9",0,,"0,0",99 852,"2,2"
28 M'SILA,0,"0,0",10 000,,"9,6",0,,"0,0",104 250,"2,3"
29 MASCARA,62,"0,0",27 878,,"13,5",0,,"0,0",206 435,"4,5"
30 OUARGLA,377,"4,9",3 271,,"42,4",0,,"0,0",7 709,"0,2"
31 ORAN,0,"0,0",4 441,,"6,9",0,,"0,0",64 602,"1,4"
32 EL-BAYADH,126,"0,0",2 313,,"14,4",0,,"0,0",16 053,"0,4"
33 ILLIZI,0,"0,0",223,,"54,0",0,,"0,0",413,"0,0"
34 B.B.ARRERIDJ,0,"0,0",2 074,,"2,3",378,,"0,4",89 631,"2,0"
35 BOUMERDES,53,"0,2",18 854,,"55,0",0,,"0,0",34 251,"0,8"
36 EL-TARF,3 398,"8,6",7 461,,"18,8",0,,"0,0",39 697,"0,9"
37 TINDOUF,0,"0,0",149,,"85,1",0,,"0,0",175,"0,0"
38 TISSEMSILT,0,"0,0",885,,"1,1",0,,"0,0",81 395,"1,8"
39 EL-OUED,4 030,"7,2",35 377,,"63,1",0,,"0,0",56 061,"1,2"
40 KHENCHELA,0,"0,0",5 023,,"3,7",0,,"0,0",134 945,"3,0"
41 SOUK-AHRAS,36,"0,0",2 963,,"2,0",650,,"0,4",147 430,"3,2"
42 TIPAZA,224,"0,5",15 533,,"37,0",0,,"0,0",41 954,"0,9"
43 MILA,8,"0,0",5 720,,"4,3",0,,"0,0",131 551,"2,9"
44 AIN-DEFLA,1 201,"0,9",27 219,,"21,4",310,,"0,2",127 452,"2,8"
45 NAAMA,0,"0,0",1 282,,"19,1",0,,"0,0",6 720,"0,1"
46 A.TEMOUCHENT,0,"0,0",9 692,,"6,8",0,,"0,0",143 555,"3,2"
47 GHARDAIA,659,"5,0",4 000,,"30,5",0,,"0,0",13 118,"0,3"
48 RELIZANE,184,"0,1",19 947,,"10,8",0,,"0,0",184 715,"4,1"
TOTAL ALGERIE,32 595,"0,7",435 123,,"9,6",4 069,,"0,1",4 550 423,100
