0,1,2,3,4,5,6,7,8,9,10,11,12
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,,SERIE B 2018,
SUPERFICIE OCCUPEES PAR LES PLANTATIONS (Vigne non comprise),,,,,,,,,,,,
WILAYA,OLIVIERS,,PALMIERS,,AGRUMES,,FIGUIERS,,ESPECES A,,SUPERFICIE,
,,,DATTIERS,,,,,,NOYAUX ET / OU,,TOTALE,
,,,,,,,,,A PEPINS,,,
,ha,%,ha,%,ha,%,ha,%,ha,%,ha,%
1 ADRAR,0,"0,0",28 320,"98,1",0,"0,0",0,"0,0",540,"1,9",28 860,100
2 CHLEF,4 533,"30,2",0,"0,0",6 481,"43,2",1 149,"7,7",2 845,"19,0",15 007,100
3 LAGHOUAT,2 278,"37,7",235,"3,9",8,"0,1",117,"1,9",3 407,"56,4",6 045,100
4 O.E.BOUAGHI,2 023,"65,7",0,0,0,"0,0",42,"1,3",1 016,"33,0",3 081,100
5 BATNA,11 797,"51,9",207,"0,9",0,"0,0",103,"0,5",10 606,"46,7",22 712,100
6 BEJAIA,57 439,"78,9",0,"0,0",2 019,"2,8",9 547,"13,1",3 815,"5,2",72 821,100
7 BISKRA,4 501,"8,6",43 617,"83,2",76,"0,1",548,"1,0",3 688,"7,0",52 430,100
8 BECHAR,1 381,"8,7",13 919,"87,6",44,"0,3",58,"0,4",496,"3,1",15 897,100
9 BLIDA,1 300,"4,5",0,"0,0",18 475,"63,4",659,"2,3",8 705,"29,9",29 140,100
10 BOUIRA,37 073,"85,5",0,"0,0",490,"1,1",1 843,"4,2",3 976,"9,2",43 382,100
11 TAMANRASSET,0,"0,0",7 118,"91,3",153,"2,0",44,"0,6",485,"6,2",7 800,100
12 TEBESSA,9 534,"73,0",805,"6,2",0,"0,0",223,"1,7",2 496,"19,1",13 058,100
13 TLEMCEN,15 468,"43,1",0,"0,0",2 884,"8,0",363,"1,0",17 134,"47,8",35 849,100
14 TIARET,4 566,"35,2",0,"0,0",0,"0,0",561,"4,3",7 861,"60,5",12 988,100
