0,1,2,3,4,5,6
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,SERIE B 2019
IV-CULTURES MARAICHERES DITES DE PRIMEURS (3/4),,,,,,
,,PIMENTS,,,COURGETTES,
WILAYA,superficie,production,Rendement,superficie,production,Rendement
,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,126,15 077,"119,8",80,11 922,"148,6"
2 CHLEF,0,0,0,0,0,0
3 LAGHOUAT,0,0,0,0,0,0
4 O.E.BOUAGHI,0,0,0,0,0,0
5 BATNA,0,0,0,0,0,0
6 BEJAIA,7,1 813,"276,0",5,1 167,"229,7"
7 BISKRA,1 550,1 175 400,"758,3",368,287 410,"781,0"
8 BECHAR,0,0,0,0,0,0
9 BLIDA,0,0,0,0,0,0
10 BOUIRA,0,0,0,0,0,0
11 TAMANRASSET,0,0,0,0,0,0
12 TEBESSA,0,0,0,0,0,0
13 TLEMCEN,0,0,0,0,0,0
14 TIARET,0,0,0,0,0,0
15 TIZI-OUZOU,7,0,"0,0",0,0,"0,0"
16 ALGER,33,10 500,"322,5",103,39 480,"384,4"
17 DJELFA,0,0,0,0,0,0
18 JIJEL,0,344,"1 075,0",119,34 649,"292,3"
19 SETIF,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0
21 SKIKDA,0,0,0,325,47 645,"146,6"
22 S.B.ABBES,,,0,,,0
23 ANNABA,55,12 315,"226,0",43,12 608,"296,7"
24 GUELMA,0,0,0,0,0,0
25 CONSTANTINE,0,0,0,0,0,0
26 MEDEA,0,0,0,0,0,0
27 MOSTAGANEM,0,0,0,0,0,0
28 M'SILA,72,46 475,"650,0",27,18 900,"700,0"
29 MASCARA,0,0,0,0,0,0
30 OUARGLA,75,8 457,"113,0",51,7 953,"157,4"
31 ORAN,0,98,"264,9",6,992,"168,7"
32 EL-BAYADH,0,0,0,0,0,0
33 ILLIZI,1,79,"110,0",0,33,"110,0"
34 B.B.ARRERIDJ,0,0,0,0,0,0
35 BOUMERDES,0,0,0,13,2 975,"238,0"
36 EL-TARF,0,0,0,14,2 220,"158,6"
37 TINDOUF,0,0,0,3,800,"320,0"
38 TISSEMSILT,0,0,0,0,0,0
39 EL-OUED,100,50 000,"500,0",12,12 000,"1 000,0"
40 KHENCHELA,0,0,0,0,0,0
41 SOUK-AHRAS,139,4 780,"34,5",80,6 840,"85,5"
42 TIPAZA,95,43 898,"460,8",259,110 590,"427,6"
43 MILA,0,0,0,0,0,0
44 AIN-DEFLA,0,0,0,0,0,0
45 NAAMA,0,0,0,0,0,0
46 A.TEMOUCHENT,0,0,0,75,12 600,"168,0"
47 GHARDAIA,1,400,"400,0",1,400,"400,0"
48 RELIZANE,0,0,0,5,1 125,"250,0"
TOTAL ALGERIE,2 259,1 369 635,"606,3",1 586,612 309,"386,1"
