0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2019,
IX-FOURRAGES NATURELS,,,,,,,,,
,,PRAIRIES NATURELLES,,,JACHERES FAUCHEES,,,TOTAL,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0
2 CHLEF,5 783,5 800,"1,0",695,12 150,"17,5",6 478,17 950,"2,8"
3 LAGHOUAT,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,670,11 950,"17,8",19 779,232 200,"11,7",20 449,244 150,"11,9"
5 BATNA,17 043,418 430,"24,6",14 398,481 265,"33,4",31 441,899 695,"28,6"
6 BEJAIA,1 380,37 094,"26,9",11 550,245 843,"21,3",12 930,282 937,"21,9"
7 BISKRA,0,0,0,0,0,0,0,0,0
8 BECHAR,0,0,0,0,0,0,0,0,0
9 BLIDA,1 242,140 356,"113,0",2 822,363 990,"129,0",4 064,504 346,"124,1"
10 BOUIRA,100,2 000,"20,0",426,13 060,"30,7",526,15 060,"28,6"
11 TAMANRASSET,0,0,0,0,0,0,0,0,0
12 TEBESSA,120,0,"0,0",5 000,20 000,"4,0",5 120,20 000,"3,9"
13 TLEMCEN,0,0,0,0,0,0,0,0,0
14 TIARET,50,800,"16,0",0,0,0,50,800,"16,0"
15 TIZI-OUZOU,1 257,37 603,"29,9",13 385,340 167,"25,4",14 642,377 770,"25,8"
16 ALGER,0,0,0,0,0,0,0,0,0
17 DJELFA,0,0,0,0,0,0,0,0,0
18 JIJEL,4 469,185 148,"41,4",6 627,261 340,"39,4",11 096,446 488,"40,2"
19 SETIF,"1957,5",104059,"53,2",12 808,355 420,"27,8",14 765,459 479,"31,1"
20 SAIDA,0,0,0,0,0,0,0,0,0
21 SKIKDA,484,12 300,"25,4",10 938,501 600,"45,9",11 422,513 900,"45,0"
22 S.B.ABBES,0,0,0,0,0,0,0,0,0
23 ANNABA,2 223,119 500,"53,8",2 798,281 755,"100,7",5 020,401 255,"79,9"
24 GUELMA,306,12 310,"40,2",17 715,1 245 300,"70,3",18 021,1 257 610,"69,8"
25 CONSTANTINE,0,0,0,230,8 960,"39,0",230,8 960,"39,0"
26 MEDEA,10 823,18 710,"1,7",3 765,650 840,"172,9",14 588,669 550,"45,9"
27 MOSTAGANEM,0,0,0,0,0,0,0,0,0
28 M'SILA,0,0,0,0,0,0,0,0,0
29 MASCARA,0,0,0,7 650,73 000,"9,5",7 650,73 000,"9,5"
30 OUARGLA,0,0,0,0,0,0,0,0,0
31 ORAN,0,0,0,0,0,0,0,0,0
32 EL-BAYADH,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,146,3 595,"24,6",17 843,277 268,"15,5",17 989,280 863,"15,6"
35 BOUMERDES,0,0,0,2 853,71 325,"25,0",2 853,71 325,"25,0"
36 EL-TARF,5 000,220 700,"44,1",9 380,380 000,"40,5",14 380,600 700,"41,8"
37 TINDOUF,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,0,0,0,9 405,59 708,"6,3",9 405,59 708,"6,3"
39 EL-OUED,0,0,0,0,0,0,0,0,0
40 KHENCHELA,0,0,0,11 500,287 500,"25,0",11 500,287 500,"25,0"
41 SOUK-AHRAS,4 454,455 999,"102,4",12 727,272 979,"21,4",17 181,728 978,"42,4"
42 TIPAZA,0,0,0,2 280,70 650,"31,0",2 280,70 650,"31,0"
43 MILA,802,32 630,"40,7",11 715,413 150,"35,3",12 517,445 780,"35,6"
44 AIN-DEFLA,577,25 178,"43,7",2 654,81 915,"30,9",3 231,107 093,"33,2"
45 NAAMA,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,150,1 500,"10,0",0,0,0,150,1 500,"10,0"
47 GHARDAIA,0,0,0,0,0,0,0,0,0
48 RELIZANE,20,600,"30,0",3 583,123 350,"34,4",3 603,123 950,"34,4"
TOTAL ALGERIE,59 055,1 846 262,"31,3",214 525,7 124 735,"33,2",273 581,8 970 997,"32,8"
