0,1,2,3,4,5,6,7
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,SERIE B 2019
IX-FOURRAGES ARTIFICIELS (1/4),,,,,,,
,,FOURRAGES CONSOMMES EN SEC,,,,,
,,VESCE AVOINE,,,,LUZERNE,
WILAYA,Sup.,Prod.,Rdt,Sup.,,Prod.,Rdt
,(ha),(QX),qx/ha,(ha),,(QX),qx/ha
1 ADRAR,0,0,0,,0,0,0
2 CHLEF,11 915,536 175,"45,0",,0,0,0
3 LAGHOUAT,732,32 911,"45,0",,1 133,51 002,"45,0"
4 O.E.BOUAGHI,70,14 000,"200,0",,0,0,0
5 BATNA,0,0,0,,5 532,1 608 440,"290,8"
6 BEJAIA,1 448,39 851,"27,5",,0,0,0
7 BISKRA,0,0,0,,100,20 000,"200,0"
8 BECHAR,0,0,0,,0,0,0
9 BLIDA,115,9 670,"84,1",,0,0,0
10 BOUIRA,73,2 879,"39,4",,0,0,"0,0"
11 TAMANRASSET,0,0,0,,0,0,0
12 TEBESSA,0,0,0,,1 341,415 700,"310,0"
13 TLEMCEN,1 450,58 000,"40,0",,0,0,0
14 TIARET,56,1 064,"19,0",,230,18 400,"80,0"
15 TIZI-OUZOU,204,22 620,"110,9",,0,225,0
16 ALGER,631,37 880,"60,1",,0,0,0
17 DJELFA,0,0,0,,0,0,0
18 JIJEL,1,39,"39,0",,0,0,0
19 SETIF,563,37 610,"66,8",,0,0,0
20 SAIDA,6 588,432 394,"65,6",,0,0,0
21 SKIKDA,4 490,134 700,"30,0",,0,0,0
22 S.B.ABBES,7 760,248 320,"32,0",,0,0,0
23 ANNABA,355,20 150,"56,8",,0,0,0
24 GUELMA,320,19 165,"59,9",,0,0,0
25 CONSTANTINE,611,27 703,"45,3",,0,0,0
26 MEDEA,1 513,245 205,"162,1",,465,36 850,"79,2"
27 MOSTAGANEM,1 252,57 089,"45,6",,0,0,0
28 M'SILA,"300,00",6 000,"20,0",,0,0,0
29 MASCARA,0,0,0,,0,0,0
30 OUARGLA,0,0,0,,0,0,0
31 ORAN,0,0,0,,0,0,0
32 EL-BAYADH,6,210,"35,0",,20,3 680,"184,0"
33 ILLIZI,0,0,0,,0,0,0
34 B.B.ARRERIDJ,50,3 250,"65,0",,0,0,0
35 BOUMERDES,73,2 920,"40,0",,0,0,0
36 EL-TARF,249,16 272,"65,3",,0,0,0
37 TINDOUF,0,0,0,,0,0,0
38 TISSEMSILT,881,28 459,"32,3",,0,0,0
39 EL-OUED,0,0,0,,0,0,0
40 KHENCHELA,7,140,"20,0",,0,0,0
41 SOUK-AHRAS,3 120,187 050,"60,0",,1,40,"40,0"
42 TIPAZA,3 189,144 457,"45,3",,2,760,"380,0"
43 MILA,590,32 800,"55,6",,0,0,0
44 AIN-DEFLA,4 212,172 540,"41,0",,5,750,"150,0"
45 NAAMA,0,0,0,,0,0,0
46 A.TEMOUCHENT,0,0,0,,50,3 000,"60,0"
47 GHARDAIA,0,0,0,,0,0,0
48 RELIZANE,805,31 372,"39,0",,0,0,0
TOTAL ALGERIE,53 628,2 602 895,"48,5",,8 879,2 158 847,"243,2"
