0,1,2,3,4,5,6,7,8
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2019
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (5/7),,,,,,,,
,,Poires,,,,Pommes,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,(Qx),qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,"0,0"
2 CHLEF,672,650,83 710,"128,8",275,275,32 880,"119,8"
3 LAGHOUAT,617,617,17 276,"28,0",576,576,13 248,"23,0"
4 O.E.BOUAGHI,94,73,4 578,"62,9",305,254,17 272,"68,0"
5 BATNA,471,449,53 728,"119,7",4 681,3 973,1 207 214,"303,8"
6 BEJAIA,817,811,34 064,"42,0",617,611,29 752,"48,7"
7 BISKRA,134,132,5 799,"43,9",471,438,18 118,"41,4"
8 BECHAR,166,150,9 450,"63,0",27,26,1 655,"63,7"
9 BLIDA,613,613,153 793,"250,7",1 329,1 329,342 238,"257,4"
10 BOUIRA,598,504,23 944,"47,5",630,484,13 065,"27,0"
11 TAMANRASSET,88,79,1 279,"16,2",150,120,2 410,"20,1"
12 TEBESSA,140,135,4 725,"35,0",507,490,19 600,"40,0"
13 TLEMCEN,648,400,48 000,"120,0",1 220,900,108 000,"120,0"
14 TIARET,1 431,1 199,50 700,"42,3",2 384,1 997,95 500,"47,8"
15 TIZI-OUZOU,444,383,77 835,"203,4",359,334,69 004,"206,8"
16 ALGER,447,435,74 065,"170,3",891,871,182 570,"209,6"
17 DJELFA,483,448,24 120,"53,8",977,951,120 900,"127,1"
18 JIJEL,201,184,20 133,"109,4",353,343,51 860,"151,3"
19 SETIF,950,943,37 353,"39,6",1 399,1 389,58 717,"42,3"
20 SAIDA,330,326,12 140,"37,2",459,443,17 468,"39,4"
21 SKIKDA,1 190,1 089,152 287,"139,8",1 721,1 405,215 675,"153,5"
22 S.B.ABBES,891,470,33 000,"70,2",2 406,1 415,141 550,"100,0"
23 ANNABA,190,170,23 591,"139,2",150,129,18 127,"140,5"
24 GUELMA,282,236,32 333,"137,1",300,256,40 003,"156,4"
25 CONSTANTINE,146,115,19 800,"172,7",160,115,28 700,"249,1"
26 MEDEA,357,336,28 232,"84,0",3 680,2 867,539 761,"188,3"
27 MOSTAGANEM,978,923,65 495,"71,0",1 032,995,77 568,"78,0"
28 M'SILA,100,80,4 000,"50,0",250,141,7 750,"55,0"
29 MASCARA,189,145,16 100,"111,4",519,408,29 500,"72,4"
30 OUARGLA,28,19,404,"21,2",14,10,229,"23,1"
31 ORAN,264,207,6 384,"30,9",84,31,697,"22,5"
32 EL-BAYADH,223,213,21 965,"103,1",108,100,6 455,"64,6"
33 ILLIZI,9,7,239,"32,0",16,12,346,"28,8"
34 B.B.ARRERIDJ,121,119,2 483,"20,9",166,158,3 743,"23,8"
35 BOUMERDES,155,144,18 516,"128,8",328,320,103 548,"323,8"
36 EL-TARF,161,144,12 265,"85,0",153,123,21 495,"175,5"
37 TINDOUF,0,0,0,"0,0",0,0,0,"0,0"
38 TISSEMSILT,1 713,1 713,91 890,"53,6",1 232,1 232,66 886,"54,3"
39 EL-OUED,107,105,4 300,"41,0",268,265,16 160,"61,0"
40 KHENCHELA,412,373,24 916,"66,9",5 485,4 229,1 466 355,"346,7"
41 SOUK-AHRAS,410,380,23 768,"62,6",444,431,24 336,"56,5"
42 TIPAZA,678,659,124 874,"189,6",727,678,169 935,"250,8"
43 MILA,261,232,15 293,"66,1",619,578,47 880,"82,8"
44 AIN-DEFLA,3 822,3 250,749 024,"230,5",691,653,117 799,"180,5"
45 NAAMA,72,72,3 088,"42,9",26,24,998,"41,6"
46 A.TEMOUCHENT,204,204,6 102,"29,9",224,220,6 502,"29,6"
47 GHARDAIA,216,177,6 018,"34,0",251,211,10 339,"49,0"
48 RELIZANE,131,131,11 615,"88,7",182,182,24 491,"134,9"
TOTAL ALGERIE,22 651,20 240,2 234 673,"110,4",38 842,32 989,5 588 297,"169,4"
