0,1,2,3,4,5,6,7,8,9,10,11
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,,SERIE B 2019
ENSEMBLE DES CULTURES HERBACEES ½,,,,,,,,,,,
,,Céréales  d'hiver,,Céréales  d'été,,,Légumes  secs,,,Fourrages  artificiels,
WILAYA,,(sup. emblavée – Sup,,,,,,,,,
,,reconvertie),,,,,,,,,
,ha,%,,ha,%,ha,%,,ha,%,
1 ADRAR,18 583,,"59,5",1 343,"4,3",138,,"0,4",3 971,,"12,7"
2 CHLEF,92 492,,"68,6",0,"0,0",9 422,,"7,0",22 502,,"16,7"
3 LAGHOUAT,32 577,,"74,0",0,"0,0",0,,"0,0",11 410,,"25,9"
4 O.E.BOUAGHI,214 770,,"91,7",38,"0,0",832,,"0,4",14 884,,"6,4"
5 BATNA,146 260,,"76,8",0,"0,0",106,,"0,1",36 532,,"19,2"
6 BEJAIA,6 854,,"47,4",2,"0,0",502,,"3,5",3 544,,"24,5"
7 BISKRA,29 455,,"47,9",0,"0,0",0,,"0,0",7 525,,"12,2"
8 BECHAR,2 169,,"35,9",0,"0,0",0,,"0,0",1 077,,"17,8"
9 BLIDA,8 102,,"51,9",0,"0,0",0,,"0,0",1 080,,"6,9"
10 BOUIRA,69 696,,"80,8",0,"0,0",1 288,,"1,5",7 817,,"9,1"
11 TAMANRASSET,745,,"22,4",0,"0,0",0,,"0,0",644,,"19,4"
12 TEBESSA,130 000,,"65,8",0,"0,0",100,,"0,1",62 841,,"31,8"
13 TLEMCEN,174 900,,"73,4",0,"0,0",18 160,,"7,6",22 220,,"9,3"
14 TIARET,364 270,,"89,8",0,"0,0",9 072,,"2,2",32 348,,"8,0"
15 TIZI-OUZOU,7 029,,"26,7",0,"0,0",763,,"2,9",12 599,,"47,9"
16 ALGER,1 693,,"14,5",0,"0,0",26,,"0,2",1 822,,"15,6"
17 DJELFA,78 905,,"68,4",0,"0,0",0,,"0,0",26 655,,"23,1"
18 JIJEL,1 486,,"15,5",108,"1,1",458,,"4,8",677,,"7,0"
19 SETIF,198 170,,"85,8",0,"0,0",1 200,,"0,5",22 602,,"9,8"
20 SAIDA,131 975,,"87,6",0,"0,0",580,,"0,4",9 697,,"6,4"
21 SKIKDA,35 553,,"42,1",113,"0,1",6 997,,"8,3",9 088,,"10,8"
22 S.B.ABBES,178 170,,"86,1",0,"0,0",2 734,,"1,3",18 890,,"9,1"
23 ANNABA,16 589,,"52,8",0,"0,0",1 986,,"6,3",1 167,,"3,7"
24 GUELMA,90 490,,"76,3",0,"0,0",6 791,,"5,7",10 050,,"8,5"
25 CONSTANTINE,90 655,,"79,5",0,"0,0",7 201,,"6,3",11 002,,"9,6"
26 MEDEA,124 234,,"72,9",0,"0,0",2 576,,"1,5",33 891,,"19,9"
27 MOSTAGANEM,40 851,,"43,4",0,"0,0",3 586,,"3,8",21 369,,"22,7"
28 M'SILA,52 785,,"51,7",0,"0,0",0,,"0,0",40 600,,"39,7"
29 MASCARA,102 584,,"49,8",0,"0,0",5 678,,"2,8",66 455,,"32,2"
30 OUARGLA,2 883,,"27,1",0,"0,0",0,,"0,0",2 527,,"23,8"
31 ORAN,46 151,,"70,5",0,"0,0",225,,"0,3",14 038,,"21,4"
32 EL-BAYADH,11 426,,"0,0",12,"0,0",0,,"0,0",7 091,,"31,2"
33 ILLIZI,51,,"0,0",0,"0,0",0,,"0,0",226,,"34,7"
34 B.B.ARRERIDJ,80 000,,"93,0",0,"0,0",243,,"0,3",3 935,,"4,6"
35 BOUMERDES,4 072,,"14,0",0,"0,0",531,,"1,8",10 008,,"34,4"
36 EL-TARF,23 860,,"58,8",0,"0,0",2 572,,"6,3",2 727,,"6,7"
37 TINDOUF,0,,"0,0",0,"0,0",0,,"0,0",34,,"19,6"
38 TISSEMSILT,81 000,,"88,7",0,"0,0",3 029,,"3,3",5 620,,"6,2"
39 EL-OUED,10 840,,"18,1",0,"0,0",0,,"0,0",3 710,,"6,2"
40 KHENCHELA,94 468,,"74,0",0,"0,0",0,,"0,0",28 303,,"22,2"
41 SOUK-AHRAS,153 807,,"87,6",0,"0,0",4 624,,"2,6",12 729,,"7,3"
42 TIPAZA,13 498,,"34,6",0,"0,0",817,,"2,1",7 605,,"19,5"
43 MILA,114 856,,"83,8",0,"0,0",5 575,,"4,1",10 323,,"7,5"
44 AIN-DEFLA,77 625,,"58,1",30,"0,0",4 307,,"3,2",23 198,,"17,4"
45 NAAMA,4 795,,"50,8",0,"0,0",0,,"0,0",3 514,,"37,2"
46 A.TEMOUCHENT,109 942,,"77,4",0,"0,0",10 638,,"7,5",11 808,,"8,3"
47 GHARDAIA,6 914,,"38,7",0,"0,0",0,,"0,0",5 800,,"32,5"
48 RELIZANE,147 499,,"75,7",34,"0,0",7 417,,"3,8",18 109,,"9,3"
TOTAL ALGERIE,3 425 728,,"72,6",1 680,"0,0",120 171,,"2,5",686 261,,"14,5"
