table_num,page,accuracy,whitespace,order,rows,columns,csv_file,excel_file
1,1,99.42,6.09,1,46,10,results_stream\SERIE-B-2019_p1_t001.csv,results_stream\SERIE-B-2019_p1_t001.xlsx
2,2,99.55,9.4,1,50,10,results_stream\SERIE-B-2019_p2_t002.csv,results_stream\SERIE-B-2019_p2_t002.xlsx
3,3,99.25,21.61,1,53,11,results_stream\SERIE-B-2019_p3_t003.csv,results_stream\SERIE-B-2019_p3_t003.xlsx
4,4,99.46,5.89,1,54,11,results_stream\SERIE-B-2019_p4_t004.csv,results_stream\SERIE-B-2019_p4_t004.xlsx
5,5,100.0,2.64,1,53,5,results_stream\SERIE-B-2019_p5_t005.csv,results_stream\SERIE-B-2019_p5_t005.xlsx
6,6,98.89,30.45,1,55,12,results_stream\SERIE-B-2019_p6_t006.csv,results_stream\SERIE-B-2019_p6_t006.xlsx
7,7,99.19,13.77,1,53,10,results_stream\SERIE-B-2019_p7_t007.csv,results_stream\SERIE-B-2019_p7_t007.xlsx
8,8,99.53,6.28,1,55,11,results_stream\SERIE-B-2019_p8_t008.csv,results_stream\SERIE-B-2019_p8_t008.xlsx
9,9,99.39,5.95,1,55,11,results_stream\SERIE-B-2019_p9_t009.csv,results_stream\SERIE-B-2019_p9_t009.xlsx
10,10,99.7,4.12,1,53,11,results_stream\SERIE-B-2019_p10_t010.csv,results_stream\SERIE-B-2019_p10_t010.xlsx
11,11,99.76,4.63,1,54,10,results_stream\SERIE-B-2019_p11_t011.csv,results_stream\SERIE-B-2019_p11_t011.xlsx
12,12,99.57,4.63,1,54,10,results_stream\SERIE-B-2019_p12_t012.csv,results_stream\SERIE-B-2019_p12_t012.xlsx
13,13,99.66,4.5,1,54,7,results_stream\SERIE-B-2019_p13_t013.csv,results_stream\SERIE-B-2019_p13_t013.xlsx
14,14,99.55,4.63,1,54,10,results_stream\SERIE-B-2019_p14_t014.csv,results_stream\SERIE-B-2019_p14_t014.xlsx
15,15,99.73,4.35,1,53,13,results_stream\SERIE-B-2019_p15_t015.csv,results_stream\SERIE-B-2019_p15_t015.xlsx
16,16,99.61,5.56,1,54,10,results_stream\SERIE-B-2019_p16_t016.csv,results_stream\SERIE-B-2019_p16_t016.xlsx
17,17,99.58,5.74,1,54,10,results_stream\SERIE-B-2019_p17_t017.csv,results_stream\SERIE-B-2019_p17_t017.xlsx
18,18,99.65,5.56,1,54,7,results_stream\SERIE-B-2019_p18_t018.csv,results_stream\SERIE-B-2019_p18_t018.xlsx
19,19,99.64,5.03,1,54,7,results_stream\SERIE-B-2019_p19_t019.csv,results_stream\SERIE-B-2019_p19_t019.xlsx
20,20,99.66,4.63,1,54,10,results_stream\SERIE-B-2019_p20_t020.csv,results_stream\SERIE-B-2019_p20_t020.xlsx
21,21,99.56,4.63,1,54,10,results_stream\SERIE-B-2019_p21_t021.csv,results_stream\SERIE-B-2019_p21_t021.xlsx
22,22,99.56,4.5,1,54,7,results_stream\SERIE-B-2019_p22_t022.csv,results_stream\SERIE-B-2019_p22_t022.xlsx
23,23,99.54,4.5,1,54,7,results_stream\SERIE-B-2019_p23_t023.csv,results_stream\SERIE-B-2019_p23_t023.xlsx
24,24,99.49,6.18,1,55,10,results_stream\SERIE-B-2019_p24_t024.csv,results_stream\SERIE-B-2019_p24_t024.xlsx
25,25,99.51,6.18,1,55,10,results_stream\SERIE-B-2019_p25_t025.csv,results_stream\SERIE-B-2019_p25_t025.xlsx
26,26,99.55,6.18,1,55,10,results_stream\SERIE-B-2019_p26_t026.csv,results_stream\SERIE-B-2019_p26_t026.xlsx
27,27,99.5,6.18,1,55,10,results_stream\SERIE-B-2019_p27_t027.csv,results_stream\SERIE-B-2019_p27_t027.xlsx
28,28,99.51,6.18,1,55,10,results_stream\SERIE-B-2019_p28_t028.csv,results_stream\SERIE-B-2019_p28_t028.xlsx
29,29,99.5,6.18,1,55,10,results_stream\SERIE-B-2019_p29_t029.csv,results_stream\SERIE-B-2019_p29_t029.xlsx
30,30,99.44,6.14,1,55,8,results_stream\SERIE-B-2019_p30_t030.csv,results_stream\SERIE-B-2019_p30_t030.xlsx
31,31,99.67,4.5,1,54,7,results_stream\SERIE-B-2019_p31_t031.csv,results_stream\SERIE-B-2019_p31_t031.xlsx
32,32,99.64,4.5,1,54,7,results_stream\SERIE-B-2019_p32_t032.csv,results_stream\SERIE-B-2019_p32_t032.xlsx
33,33,99.66,4.63,1,54,10,results_stream\SERIE-B-2019_p33_t033.csv,results_stream\SERIE-B-2019_p33_t033.xlsx
34,34,99.33,17.73,1,55,8,results_stream\SERIE-B-2019_p34_t034.csv,results_stream\SERIE-B-2019_p34_t034.xlsx
