wilaya_code,year,season,avg_temperature,avg_rainfall,avg_humidity,avg_ndvi
1,2018,hiver,13.826,0.051,39.182,0.112
1,2018,été,36.737,0.029,13.05,0.084
2,2018,hiver,9.8,2.066,73.393,0.381
2,2018,été,25.75,0.284,53.438,0.192
3,2018,hiver,7.738,0.255,62.152,0.137
3,2018,été,28.53,0.556,31.067,0.134
4,2016,hiver,7.684,1.644,74.814,0.32
4,2016,été,25.667,0.419,44.348,0.179
4,2018,hiver,6.703,1.043,78.182,0.266
4,2018,été,24.305,0.624,52.044,0.17
5,2017,hiver,5.753,0.544,71.721,0.231
5,2017,été,26.533,0.217,34.389,0.15
5,2018,hiver,4.717,0.703,75.905,0.232
5,2018,été,23.328,0.457,46.65,0.178
6,2016,hiver,14.775,1.627,73.031,0.123
6,2016,été,25.377,0.401,70.362,0.209
7,2017,hiver,10.514,0.114,60.382,0.116
7,2017,été,33.74,0.076,22.644,0.087
7,2018,hiver,10.011,0.218,61.523,0.12
7,2018,été,31.017,0.133,29.67,0.107
8,2016,hiver,11.7,0.071,45.468,0.098
8,2016,été,33.514,0.003,18.741,0.081
9,2018,hiver,9.735,2.165,78.014,0.498
9,2018,été,25.145,0.604,56.513,0.415
10,2016,hiver,9.694,1.866,75.745,0.413
10,2016,été,27.132,0.138,43.056,0.231
10,2018,hiver,8.461,1.999,80.251,0.485
10,2018,été,25.046,0.392,54.926,0.265
10,2019,hiver,8.574,2.712,79.692,0.434
10,2019,été,27.841,0.234,46.083,0.249
11,2016,hiver,12.514,0.013,28.576,0.086
11,2016,été,26.757,2.525,27.062,0.072
11,2019,hiver,10.834,0.001,19.032,0.091
11,2019,été,27.097,1.148,25.813,0.075
14,2016,hiver,9.463,2.413,67.795,0.321
14,2016,été,27.462,0.008,37.019,0.183
14,2017,hiver,9.962,1.746,70.204,0.28
14,2017,été,27.819,0.236,40.011,0.163
15,2016,hiver,9.694,1.866,75.745,0.509
15,2016,été,27.132,0.138,43.056,0.363
15,2018,hiver,8.461,1.999,80.251,0.62
15,2018,été,25.046,0.392,54.926,0.396
16,2016,hiver,14.592,1.298,74.673,0.268
16,2016,été,24.959,0.195,72.338,0.217
16,2017,hiver,14.672,0.946,76.454,0.252
16,2017,été,25.295,0.323,73.179,0.176
16,2018,hiver,13.87,2.016,76.061,0.26
16,2018,été,24.654,0.785,75.087,0.257
16,2019,hiver,13.994,1.711,74.505,0.25
16,2019,été,25.102,0.253,74.207,0.211
18,2016,hiver,14.488,1.593,73.279,-0.01
